label,x,y
2,94,81
1,1,12
2,62,80
2,92,64
2,83,64
2,95,82
2,81,85
1,20,1
1,36,38
1,35,32
2,88,92
2,66,88
1,23,36
1,4,23
1,32,37
2,92,99
1,2,4
1,8,1
1,33,8
1,11,15
2,97,81
2,75,73
2,83,74
2,67,78
2,97,60
2,62,78
1,5,2
2,89,68
2,60,86
2,94,67
1,13,23
1,17,36
1,14,22
2,79,90
1,30,14
1,37,8
2,78,84
1,23,16
1,14,36
1,3,38
1,7,10
1,24,38
2,88,89
1,22,11
2,99,61
2,94,63
2,84,76
1,2,22
1,38,21
2,96,87
2,87,98
2,98,81
1,7,10
1,23,18
2,97,71
2,96,95
1,20,14
2,93,84
1,27,19
1,34,27
2,99,84
2,62,77
1,3,6
2,64,66
2,61,98
2,87,85
1,7,31
1,26,31
1,16,38
1,24,31
1,7,3
1,13,27
2,77,82
2,84,96
1,18,26
2,66,76
1,16,31
2,92,89
2,78,92
2,85,62
1,23,38
2,77,64
2,92,85
1,20,39
1,23,0
2,89,60
2,92,87
1,25,5
1,27,33
2,88,81
1,28,5
2,82,99
2,85,94
1,3,26
2,65,88
2,75,94
1,21,31
2,76,87
2,86,91
2,67,60
1,0,1
1,39,0
2,88,92
1,0,36
1,27,3
1,15,2
1,10,0
1,28,27
2,67,91
2,94,98
1,9,36
2,71,72
2,64,81
1,13,24
1,29,26
1,25,26
2,94,74
1,10,5
2,81,82
2,91,62
2,71,96
1,35,32
2,60,83
1,1,13
1,14,36
2,70,61
2,68,60
1,34,10
2,94,71
1,39,2
2,66,99
2,77,67
1,17,31
2,80,99
1,38,12
1,33,32
2,80,72
2,92,75
1,1,14
2,70,61
1,24,1
2,92,83
1,17,7
2,91,79
2,79,91
2,99,91
2,79,81
1,38,4
1,22,34
1,34,16
1,8,0
1,8,35
2,61,84
1,6,29
1,6,5
2,73,75
2,79,82
1,15,29
1,19,27
1,1,27
1,25,1
2,79,89
1,14,31
1,13,23
1,35,13
2,76,85
2,95,91
2,87,75
2,90,92
2,63,94
2,62,71
2,84,65
1,7,25
2,75,65
2,75,85
1,28,23
1,6,32
1,11,12
1,21,25
1,7,34
2,78,88
1,38,22
1,8,21
2,95,82
2,78,75
2,86,93
1,20,28
2,89,96
1,39,38
1,10,34
1,32,25
2,65,90
1,6,14
1,32,8
1,24,21
1,23,31
2,89,68
2,83,93
2,94,73
2,63,62
